Fecha_venta,Coordenadas,Piso,Tipo,M2,Valor_M2,Precio_lista,Precio_venta,Canje,Valor_canje,M2_canje,Estado_obra
5/12/2022,"-32.9384479, -60.6414404",3,2,82,1341.46,124771.00,110000.00,0,,,1
13/12/2022,"-32.9427243, -60.6463481",6,0,42.5,1270.59,58500.00,54000.00,0,,,4
20/12/2022,"-32.9465263, -60.6603753",4,0,39,1076.92,49000.00,42000.00,0,,,4
23/12/2022,"-32.9384479, -60.6414404",8,3,167,1503.59,303940.00,251100.00,1,199100.00,127,1
26/12/2022,"-32.9384479, -60.6414404",0,-2,11,1543.77,17500.00,16981.47,1,9140.37,5.99,1
26/12/2022,"-32.9384479, -60.6414404",2,2,82,1430.37,120872.00,117290.53,1,68137.35,44.69,1
28/12/2022,"-32.9521115, -60.6306584",4,1,47.5,1368.42,69000.00,65000.00,1,56500.00,43,4
30/12/2022,"-32.9350416, -60.6470425",-1,-1,2.3,1278.26,2957.00,2940.00,0,,,1
30/12/2022,"-32.9350416, -60.6470425",-1,-1,2.3,1173.60,3000.00,2699.28,0,,,1
30/12/2022,"-32.9350416, -60.6470425",6,3,149,1615.77,242368.00,240750.00,0,,,1
30/12/2022,"-32.9350416, -60.6470425",0,-2,11,1717.72,21000.00,18894.96,0,,,1
30/12/2022,"-32.9350416, -60.6470425",9,3,165,1574.58,288750.00,259805.76,0,,,1
30/12/2022,"-32.9350416, -60.6470425",0,-2,11,1896.36,21000.00,20860.00,0,,,1
5/1/2023,"-32.9430399, -60.6358630",2,2,88,1193.18,105000.00,105000.00,0,,,2
6/1/2023,"-32.9463111, -60.6617054",2,2,84,1472.32,127500.00,123675.00,1,49000.00,38,3
10/1/2023,"-32.9521903, -60.6306774",6,2,71,1761.02,136000.00,125032.26,0,,,4
10/1/2023,"-32.9521903, -60.6306774",-1,-2,12.5,1397.42,19000.00,17467.74,0,,,4
23/1/2023,"-32.9384479, -60.6414404",5,2,84,1463.27,141000.00,122914.64,0,,,1
23/1/2023,"-32.9384479, -60.6414404",0,-2,11,1386.85,17500.00,15255.36,0,,,1
23/1/2023,"-32.9463111, -60.6617054",-1,-2,11,1465.00,16115.00,16115.00,1,7222.22,45.600,3
23/1/2023,"-32.9463111, -60.6617054",8,2,77,1465.00,112805.00,112805.00,1,50555.55,28.77,3
23/1/2023,"-32.9463111, -60.6617054",-1,-2,11,1465.00,16115.00,16115.00,1,7222.22,45.600,3
2/2/2023,"-32.9521115, -60.6306584",6,0,36,1388.89,54000.00,50000.00,0,,,4
15/2/2023,"-32.9468885, -60.6623848",5,2,76,1517.89,115360.00,115360.00,0,,,1
15/2/2023,"-32.9468885, -60.6623848",0,-2,12.5,1302.00,16275.00,16275.00,0,,,1
22/2/2023,"-32.9463111, -60.6617054",-1,-2,12.5,1500.00,18750.00,18750.00,0,,,3
23/2/2023,"-32.9468885, -60.6623848",6,2,78.5,1159.24,129000.00,91000.00,0,,,1
27/2/2023,"-32.9380520, -60.6605126",10,1,48.47,1179.08,63500.00,57150.00,0,,,4
27/2/2023,"-32.9380520, -60.6605126",0,-2,12.5,1188.00,16500.00,14850.00,0,,,4
7/3/2023,"-32.9463111, -60.6617054",2,1,47.5,1487.85,68000.00,70672.83,0,,,3
7/3/2023,"-32.9463111, -60.6617054",-1,-2,12.5,1538.17,18500.00,19227.17,0,,,3
13/3/2023,"-32.9384479, -60.6414404",2,2,97,1473.20,142982.00,142900.54,1,74097.22,39.51,1
13/3/2023,"-32.9384479, -60.6414404",0,-2,11,1680.86,18500.00,18489.46,1,8402.77,4.48,1
15/3/2023,"-32.9465263, -60.6603753",10,2,74,1526.85,129500.00,112986.58,0,,,4
15/3/2023,"-32.9465263, -60.6603753",0,-2,12.5,1361.07,19500.00,17013.42,0,,,4
17/4/2023,"-32.9350416, -60.6470425",-1,-2,11,1866.97,19500.00,20536.65,1,3260.86,2.6,1
17/4/2023,"-32.9350416, -60.6470425",4,3,138.5,1790.37,235450.00,247966.87,1,41057.31,32.84,1
17/4/2023,"-32.9350416, -60.6470425",-1,-1,2.3,1373.69,3000.00,3159.48,1,681.81,0.54,1
28/4/2023,"-32.9384479, -60.6414404",1,2,78,1412.77,111267.00,110196.40,0,,,2
